0,1,2,3,4
5.0,"August 3, 2021",Thank you!,This is good price and great product!,Mark
2.0,"August 2, 2021",No title,Whatever liquid thats not absorbed in the towels will leak out during shipping. Other than that great product,James
5.0,"August 1, 2021",No title,"Love these, very easy to use",Ro
5.0,"August 1, 2021",Protecting those you love.,Very confident in using these wipes on surfaces. With viruses you can never be to safe in protecting those you love.,Maryellen
5.0,"July 31, 2021",No title,They are early in more days. Thank you.,Miriam
5.0,"July 31, 2021",Always the best,Why wouldn't anyone like this item? Especially now. Likes RemovalFor dormsValue for moneySanitizingFor the environment,Susan
5.0,"July 30, 2021",Very nice deal reasonably priced,Such a good deal love being stocked up,adrienne
5.0,"July 30, 2021",No title,These are very good for class rooms.,Ghaziani
5.0,"July 30, 2021",No title,I like these Clorox wipes for cleaning the bathroom. And they are requested on daughters school supply list.,Jessica
5.0,"July 28, 2021",Hands Down The Best Wipe Ever!,Clorox products are always the best choice. No strong scent. No irritants. Highly recommend,Alicia
5.0,"July 28, 2021",No title,Nothing like Clorox products,Fiesta
1.0,"July 27, 2021",I'll need a refund. It's got to be our hot temps?,all the liquid was drained out of all three containers and the paper was peeling off the sides of each of them by the time and took the outer plastic off. They must have tipped inside of the box or got too hot inside the truck or something. I'm not sure.,June
5.0,"July 27, 2021",The real deal,The real deal. Its effective Likes SanitizingVersatilitySentTouchAppearance,Nene
5.0,"July 26, 2021",Excellent,"Great price, product and service Likes For petsConvenienceCleanlinessBathroomCountersStrength",kathleen
5.0,"July 26, 2021",Highly recommend,Cleans hard to clean surfaces Likes Ease of useFor dormsFor parentsCleanlinessFeatures,Mallazine
5.0,"July 25, 2021",This is a must,This is a must have in any house hold! They work amazing and keep all those unwanted nasty germs away! They also smell soooo clean!,sarahleeanns
5.0,"July 24, 2021",No title,Great price for the product,Anna
5.0,"July 24, 2021",No title,"Stock up now, round 2 will be starting soon",WalmartCustomer
5.0,"July 24, 2021",Great for cleaning.,Great to be able to get Clorex wipes again. Likes For travelTime saverQualityCleanlinessFreshness,Momm
5.0,"July 24, 2021",Super Clorox,"Love these, easy disinfecting and clean ups",gunn
5.0,"August 3, 2021",Thank you!,This is good price and great product!,Mark
2.0,"July 23, 2021",No title,All three packs of wipes leaked and the outsides of the containers were so wet that the lablels were coming off.,Joyce
5.0,"July 23, 2021",No title,This a good buy did feel like going out that week in because weather reason Im the house have everything at hand an a good buy,Linda
5.0,"July 23, 2021",No title,Ive used these before and they work for me.great Likes SturdinessBathroomFeaturesTouchConvenience,Maggy74
5.0,"July 22, 2021",No title,"goid deal though inflation has upped everything, speedy shipment.",Me
5.0,"July 22, 2021",Love this product! Love,"Love this product! Love the scent, the packaging, the ease of use. My husband uses them all the time. They have a nice texture and wipe away the mess all at once! Definitely recommend!",roseyg9493
5.0,"July 22, 2021",Finally in stock,Love anything Clorox use products all the time for years. Since Covid shortage,Ester
4.0,"July 21, 2021",When Covud came along,"When Covud came along I used whatever wipes I could find. When Clorox hit the shelves again I stocked up. These wipes are tough; you can scrub pretty hard with them. And, being Clorox, you can rest assured that you are disinfecting your house.",debiann301
5.0,"July 20, 2021",No title,Easy to use and effective.,mike
5.0,"July 20, 2021",Need to clean and,"Need to clean and disinfect all at once. Clorox is key. And easy clean. It pretty much gives you, your surface back immediately after",neenees
5.0,"July 20, 2021",I love the scent,I love the scent and the strong durable quality of these wipes. The have a refreshing sent that isn't overbearing in the least. Much more pleasant than the usual bleach smell that fills my home ⭐⭐⭐⭐⭐Clorox Disinfecting Wipes Bleach Free Cleaning Wipes - Crisp Lemon - 75ct,mystiel
5.0,"July 19, 2021",No title,I Love these. Even cleans glass,FreeBird16
5.0,"July 19, 2021",This product this amazing,This product this amazing especially if I need to cleaning something quickly. I know it will get the space clean. It's simple and easy to use.,alexisr178
5.0,"July 18, 2021",No title,Everything was well received,Lucretia
5.0,"July 18, 2021",These Clorox wipes don't,These Clorox wipes don't have a good sent but they do clean object really good.These wipes stay wet for a while so you can clean multiple surfaces.,lilyc85
5.0,"July 18, 2021",No title,Very handy to have in house.,debra
5.0,"July 18, 2021",Satisfied,Very good I recommend it to others,Audrey
1.0,"July 17, 2021",Leaked all in the box,Leaked out in the box. Just go buy it from the store yourself,WalmartCustomer
5.0,"July 15, 2021",No title,Love the scent of Clorox wipes versus Lysol..Great buy..Very pleased.,Patrice
4.0,"July 14, 2021",No title,okay but all thing did not come.,None
5.0,"July 23, 2021",clorox the wonder product for many uses,"love clrox wipes/clorox products keeps everthing smelling fresh/clean comes in bulk pgk,different fragances at resoniuble price Likes For the environmentQualityEase of useCountersSturdiness",t
1.0,"July 23, 2021",No title,All three packs of wipes leaked and the outsides of the containers were so wet that the lablels were coming off.,Joyce
5.0,"July 14, 2021",Excellent for cleaning,"Cleans very well, especially for spot cleaning, or if youre in a hurry Likes CleanlinessFor doorknobsFor the environmentConfidenceShapeFor teachersTouchGrease",Meechie
5.0,"July 14, 2021",The Clorox Disinfecting Wipes,The Clorox Disinfecting Wipes help to maintain the bathroom and the kitchen very clean .I used it every day for the lid of the toilet and I like very much.,maribelg42
1.0,"July 13, 2021",No title,Containers of wipes were dented and must have leaked cleaner liquid because Clorox labels were peeled off containers.,Debra
5.0,"July 13, 2021",No title,It cleans everything in the bathroom so good Likes SentReliabilityKitchenEase of useCar,Pilu
5.0,"July 12, 2021",We use these all,We use these all over my house for all surfaces door handles counters light switches etc. due to my youngest child being prone to sickness we have to always be safe and take precautions on everything we do so we stand behind this product,jenniferm805
5.0,"July 12, 2021",Disinfecting wipes,Love them. So hard to find.,Margo
5.0,"July 11, 2021",Best wipes. It cleans,Best wipes. It cleans and disinfects. It also picks up my cats hairs from the counters. This is my go to disinfecting wipes. Also they don't dry out!,zuhraa_x
5.0,"July 11, 2021",No title,Always used wipes for clean ups. Finally we can buy them again!,Patty
5.0,"July 11, 2021",Awesome wipes work great,Awesome wipes work great especially during covid! Whole family loves them. Lemon scent is perfect. Use this for everything!,catieh14
5.0,"July 10, 2021",Love the scent and,Love the scent and how clean my counters are. I feel safe using it. Price is right for quantity of wipes.,mariap678
5.0,"July 10, 2021",This one is actually,This one is actually my favorite. Mine was super moist and wipes very good. I like the clean scent that it has also. I like to keep one in my car to wipe the gas pump handles down and also one in my kitchen to wipe the counter that I cooked anywhere with meat. I would recommend this.,katherinef70
5.0,"July 10, 2021",I absolutely love these,I absolutely love these for a quick cleanup. I find using individual wipes to be more sanitary than reusing a rag. I wish they made wipes specifically for cleaning wood though. Great product for the price because it takes the place of several cleaning products I would use on hard non porous surfaces. These are definitely a regular on my shopping list.,brittanyy21
4.0,"July 10, 2021",Good for the house,Good for the house it keeps baby an family from getting sick are catch bacteria form the house an kep germ away . texting the product form at the house,lizziem37
5.0,"July 9, 2021",Clorox disinfecting wipes,"I only use Clorox disinfecting wipes, it is the best!",Maguro
1.0,"July 8, 2021",Damaged containers.,my containers were smashed in and the lids were all cracked. I am very unhappy. SMH,Deborah
5.0,"July 8, 2021",No title,"my go to wipes for quick cleaning, and sanitizing Likes CarPortabilityFor the classroomCleanlinessUsefulness",april
5.0,"July 7, 2021",Already did a review,Already did a review on this but it wants another lol love these wipes. I posted a life hack for removing mildew with these if anyone is interested. Just check out my page :),musicmovesme2000
5.0,"July 7, 2021",These are the BOMB!!,These are the BOMB!! I use Clorox wipes on virtually everything. I keep 3 or 4 of these stocked in the pantry at all times. Cleans just about anything you need to have cleaned and leaves it germ free.,chadr2
5.0,"July 14, 2021",No title,Great price and convenience! Thx!,RT
5.0,"July 14, 2021",No title,"Love the fact that I can finally get them again. They work great, smell better and have a better texture than other brands. Likes CleanlinessPortabilityCountertopsEase of useDesksConfidenceBathroomSturdinessChairUsefulnessFeaturesFor the officeEffectivenessSanitizerFor a germaphobe",ChristmasShopper
5.0,"July 14, 2021",Must have,Great product always on my list,Oscar
5.0,"July 6, 2021",No title,Cant get along without this!,Cheryll
5.0,"July 5, 2021",These wipes are fabulous,These wipes are fabulous ! I tried to stock up best I could beginning of pandemic knowing they would be the best way of disinfecting ! These wipes never fail to impress how long they last how much use and sturdy just one wipe is ! Definitely will continue to buy !,lisae64
5.0,"July 4, 2021",I love this product.,I love this product. Having a baby there is always a mess to clean up and being able to grab a wipe that kills germs instead of getting out a spray and having to get paper towels while holding a newborn really makes it easy. Love love love these,carab50
5.0,"July 4, 2021",good wipes,plenty of liquid cleaner; they don't dry out over time,hoogerland
5.0,"July 3, 2021",Good product,I use these for everything.,shopper48
5.0,"July 1, 2021",No title,Much better than the discount junk from china.,MrPete50
5.0,"June 30, 2021",No title,Handy for clean ups in the car fresh smelling,Bunnie
5.0,"June 30, 2021",No title,MY ONLY CHOICE THERE IS NO OTHER OPTION,RICHARD
5.0,"June 29, 2021",No title,You can always trust Clorox. Period.,Jackie
5.0,"June 29, 2021",Clorox Wipes,An excellent cleaning product.,Leanne
5.0,"June 28, 2021",Great,[This review was collected as part of a promotion.] Clorox is the only way to get the job done right the first time!!,old2thumbs
1.0,"June 27, 2021",No title,bottle leaked all liquid out..,Beth
5.0,"June 26, 2021",Clorox Wipes Cleans My Kitchen!,Been using them for years to clean up grimy stove top! I could make an ad I love using them so much!,Karen
5.0,"June 26, 2021",Good,Always trust Clorox to clean and disinfect Likes Smell of bleachUsefulnessBacteriaSturdinessWhites,crisal
5.0,"June 24, 2021",Boyfriend luvs it!,I wipe down my VaJayjay every day with it. Feel confident and fresh!!!,JennyZ
5.0,"June 24, 2021",Great buy!,These are so handy for quick clean ups and disinfectant. We use these daily in our home Likes SheetsFor the officeKitchenWhitesChair,Nicole
5.0,"June 24, 2021",No title,I absolutely loved everything I purchased h Likes VersatilityCleanlinessTime saverFor kidsSturdinessEase of useCountertopsAccessChairKitchenFor parentsSheetsAppearanceConfidenceDesks,Diana
5.0,"July 7, 2021",Household staple. It was,"Household staple. It was so hard for me to not be able to find these during the pandemic. I would buy literally anything just so I had something, but nothing is even comparable to REAL Clorox wipes. So glad they are finally back in stock everywhere!!!",cassidyg32
5.0,"July 6, 2021",Would be great for,"I love the product, but upon latest delivery there was no 'juice' in the bottom of the container - for all of them. The wrappers were all wet and so had to remove them all. For now the first container is fine, but I'm guessing it will dry up before we use them up. Disappointed",northwoods50
5.0,"June 23, 2021",Easy to use,Pretty good .These Clorox wipes are the only cleaning wipes we'll use. Very strong cleaning power,Benteng
5.0,"June 21, 2021",Classic household product!,Always a classic and delivered to our house!,leah
4.0,"June 21, 2021",get it soon,awesome deal especially during Covid,Zakiya
5.0,"June 19, 2021",Quick cleanup,Keep these handy in the bathroom for a quick clean up. Must have for our bathroom,Judith
5.0,"June 17, 2021",Walmart cheaper and faster than Amazon,Price half of Amazon - delivered next day!!,Calvin
2.0,"June 14, 2021",No title,The clorox wipes were dented and liquid had spilled out.,WalmartCustomer
5.0,"June 14, 2021",Long laster,"I've been using this product for over 45 years. It never disappoints. It has changed over the years, gotten weaker but it still does the job well",Davey
5.0,"June 13, 2021",My number one cleaner!,Nothing compares to Clorox.,idonotwantto
5.0,"June 13, 2021",No title,"Arrived very Quickly. Love using the online shopping, so easy. And it's so I don't tempt to buy other than just what i need.",kelli
4.0,"June 12, 2021",Good product,"Used for many many years, just wish the didn't dry out so quickly.",Kim
5.0,"June 11, 2021",No title,I USE THESE ALWAYS. VERY HANDY FOR QUICK CLEANING.,Connie
5.0,"June 11, 2021",No title,"I like the smell of the bleach, because it makes it smells fresh and clean especially if you have to travel and stay out of town. Likes CarFreshnessSmell of bleachFor travel",Roxie
5.0,"June 10, 2021",Great product!!,We tend to keep these all the time. They clean great.,Yanet
5.0,"June 10, 2021",No title,I always liked theses wipes for fast sanitizing and I always like Clorox products in all my sanitizing because it works,Elaine
5.0,"June 9, 2021",The best wipes ever!,I use these likes for multiple of things. It really is a great product. That's delivery.,marie
5.0,"June 8, 2021",Great product,Some of containers were damaged. The tops were smashed in. Put them in old containers I have.,jean
5.0,"June 7, 2021",No title,love um great value use um all the time would buy again,Lisa
5.0,"June 7, 2021",The Best,Haven't found this in a year.,blndaly
5.0,"June 23, 2021",No title,That was quick.... Thank you.,Debra
3.0,"June 23, 2021",puzzled,"I love the product, but upon latest delivery there was no 'juice' in the bottom of the container - for all of them. The wrappers were all wet and so had to remove them all. For now the first container is fine, but I'm guessing it will dry up before we use them up. Disappointed",northwoods50
5.0,"June 23, 2021",No title,I use these every single day. They're great when cleaning my cats litter box. I also use them to wipe down the tub after every bath and so does the rest of the family.,Monica
5.0,"June 6, 2021",The best brand of disinfecting wipes,The best disinfecting wipes I know. I feel assured when I use this brand of wipes to disinfect anything. Likes CountertopsCanisterHandleFor your boys,1happycustomer
3.0,"June 5, 2021",Not sturdy,This is not for children or rough adults. My 12 yr old daughter had this for 3 weeks before the front of two drawers fell off.,cheriebfl
1.0,"June 5, 2021",No title,Very disappointed. They where smashed and leaking.,Robin
5.0,"June 4, 2021",No title,very happy i was able to get!,JUAN
5.0,"June 4, 2021",No title,nice wet wipes with a nice smell,melissa
5.0,"June 4, 2021",No title,"Easy to use, I keep a canister for each floor, very handy. Likes CleanlinessCanisterCountertopsSafetyToilet",LILIANA
5.0,"June 2, 2021",No title,"Love the wipes, not the delivery. Came in an envelope and they leaked all over to the point where all the labels were soaked and came right off the containers had to dry them all and now hoping they just leaked and no holes in any of them.",Bostonlover
5.0,"June 2, 2021",Better than Lysol wipes,"These are honestly better wipes than the Lysol ones. They are both great but I choose this over Lysol any day. I think the quality of the wipes on these are better , they just feel like they handle more wipes before they start to fray a bit",razikx
5.0,"June 1, 2021",Efficient,Really good items and the best quality. Likes For a germaphobeQualityPerformanceSturdinessFor the environment,Miguelina
5.0,"May 31, 2021",CLOROX WIPES,WKS WELL IN BATHROOMS AND KITCHEN,GG
1.0,"May 30, 2021",No title,The wipes was dried up unfortunately,Marie
5.0,"May 29, 2021",No title,So glad these are available again,Norma
5.0,"May 28, 2021",i love it,"i loveClorox Disinfecting Wipes, (225 Count Value Pack), Crisp Lemon and Fresh Scent - 3 Pack - 75 Count Each",Jonathan
5.0,"May 26, 2021",Quickly and easy way to clean.,"Was so glad to be able to get a pack of these while we were moving recently. We were able to quickly clean the cab of the moving truck, knobs and the bathroom where we were staying overnight, and yo clean the new place quickly and easily.",WalmartCustomer
3.0,"May 26, 2021",No title,The problem is that when I received the wipes the containers were all wet. The containers Were not sealed,milagros
5.0,"May 25, 2021",Great wipes to clean,These are great wipes! When you need to wipe your countertops down and make sure you have cleaned and killed germs? They are the wipes you want! Love them! They are affordable too!,Regina
5.0,"May 23, 2021",Very good.,"It really helps disinfect everything, especially cause of the Covid-19.",Elvia
4.0,"June 7, 2021",Goodbye germs,These are exactly as I expected them to be. I'm glad they shipped fast. They are convenient for disinfecting surfaces quickly. I marked it down one because it would be nice if they closed better. The containers leak if tipped.,Jns0
5.0,"June 6, 2021",No title,This is a good product for cleaning Likes QualityFor the environmentKitchenSafetyFor spot,Paul
5.0,"June 6, 2021",No title,It's Clorox. Of course it's good. I use these in routine cleaning all the time. They are convenient and they get the job done.,Judy
5.0,"May 18, 2021",No title,"delivery fast, this is the only wipe I use for my family",Sherry
5.0,"May 17, 2021","Clorox Disinfecting Wipes, (225 Count Value Pack),",I have been using these for YEARS prior to this Pandemic. I used to by them in the 3 pack at a Wholesale store. But the inability to obtain over the past year was frustrating. I am so glad I can now get these to wipe down all surfaces in bath and kitchen with the safe feeling I get from using Clorox products .,Lindugas
5.0,"May 16, 2021",Great product,"Great product , do the job. Price fair (?)",Gazelle
1.0,"May 16, 2021",wipes,very thin wipes. it use to be thick wipes,carmenbabysweet
4.0,"May 16, 2021",Ok,Came late in afternoon ! We are Disable and don't like to go out of the fence when it starts getting dark . We are also Elderly and we don't trust strangers .,Angelina
5.0,"May 15, 2021",price,keeping surfaces sanitary from virus is definitely worth it. not bad 3 of them for the price of 10$ and it's quantity,Julia
5.0,"May 15, 2021",Disinfectant Wipes,Perfect! For Small Areas to Disinfect Likes ChoreCanisterReliabilityFloorsFor the classroom,FrannieFrance
5.0,"May 15, 2021",I have been waiting!!,I have been waiting for these to come back in regular supply since the pandemic!! This disinfects well and works well with other cleaning products like Clorox clean up. I would recommend this product to family and friends.,Willanda
5.0,"May 13, 2021",Value for money,"I am so happy, finally, the general public has the ability to purchase cleaning products again. It was so difficult to buy them. The wipes are easy to take out. I used it for clean kids toys, doors, TV tables, counter tops in kitchen and bathrooms. Bonus point: kills COVID-19 VIRUS!",WalmartCustomer
5.0,"May 10, 2021",My FAVORITE SCENT,I LOVE THESE MY FAVORITE PRODUCT,Cheryl
5.0,"May 9, 2021",No title,Glad they finally got some in the stores! Likes SentFor teachersAccessSinkWhites,MsBea
5.0,"May 9, 2021",Positive!,Love having these on hand! Company coming? A quick swipe or two spiffs up the bathroom quickly and smells so clean! Likes For a germaphobeVirusesSpillsCleanlinessSentFor the environmentEaseShape,Marfendra
5.0,"May 8, 2021",Great For Your Family,"My family and I have been using these Clorox disinfecting wipes for years. We trust Clorox to protect us against bacteria, germs and viruses. We use these in every part of our home. Door knobs, the bathroom, the kitchen and even wiping down the kids toys. Leaves everything clean and smelling nice. The lemon scent is my absolute favorite. Makes the whole area smell like you've spent a hours cleaning. Works great on the stove too. Easily breaks down and wipes up grease and other touch splatters and spills like tomato sauce. We've really counted on these the last two years to keep us safe and I am happy to report we have stayed safe and haven't been sick the entire two years. For that, I am very thankful to Clorox. See more",Nelle
5.0,"May 8, 2021",No title,I am glad I was finally able to purchase this merchandise after months of trying to buy disinfectant wipes.,Angelita
5.0,"May 8, 2021",No title,"Excellent product, packaged well.",William
5.0,"May 7, 2021",Great for cleaning and sanitizing.,"Super for cleaning and sanitizing, takes care of small spills.",Sally
5.0,"May 5, 2021",No title,"The best cleaning the counter, doorknobs , sink , toilet seats and whatever else you need for cleaning, wipes",karmo
5.0,"May 22, 2021",Lysol makes the best cleaning products,Works great. Great price and customer service.,JoAnn
5.0,"May 21, 2021",Clorox Wipes great products,"Love this product, smells good and makes me feel that things are at cleaner.",karen
5.0,"May 20, 2021",It's Clorox. It's good.,It is alot thinner than before and there is no scrubbing textures,Candi
5.0,"May 2, 2021","clorox, the best","The best, it's clorox.. Lucky to get them Likes SpillsContainerFor petsCanisterSimplicity",BBC
5.0,"April 30, 2021",No title,"Got a 3 pack for less than $ 10.00. Had been having difficulty getting these disinfecting wipes, Great that I was able to get some at Walmart and at a good price.",Anna
5.0,"April 30, 2021",Love these wipes,[This review was collected as part of a promotion.] I bought these last week and LOVE them. I have 3 boys and these are very handy. I use them in my bathrooms daily.,C Cochran
5.0,"April 29, 2021",No title,Always use these Thankful I can purchase them at Walmart and have them delivered at a great price,Louise
5.0,"April 29, 2021",No title,Great Value for one of the best disinfecting wipes they are. Wipes are very strong.,Cheryl
5.0,"April 29, 2021",Sanitizes To My Satisfaction,What can you say about wipes these make me feel secure when cleaning my home Likes For potty trainingFeaturesHandleChoreBacteria,likeshrimp
5.0,"April 28, 2021",Easy Cleanup,"I use Clorox most of the time. I find this product to be an easy clean up, very convenient.",Gennett
5.0,"April 28, 2021",Clorox wipes,Glad to have them back on the shelves after having to make my own for over a year. Likes UsefulnessSinkAccessSanitizingLiquid,Cheryl
5.0,"April 28, 2021",Everyone needs wipes,Who dont need these!!! My favorite brand of disinfectant wipes! I got 3 packs now!,MELISSA
5.0,"April 27, 2021","Clorox Disinfecting Wipes, (225",Great disinfectant ! Grab Likes BathroomCleanlinessDurabilityHealthSurfacesQuality,Muthamouth
5.0,"April 26, 2021",Clorox Wipes,Clorox wipes have a rough texture on one side that makes a difference!!!! Likes SurfacesFor schoolSafetyFor the classroomFloorsFor travelPackageCarSanitizerBathroomEaseKitchenAccess Dislikes For the environment,SPRINGER
5.0,"April 26, 2021",Messes,Very nice and easy to clean up messes with,Marylouise
5.0,"April 25, 2021",No title,Cleans up bathroom especially nicely! Likes For petsFor your boysFeaturesHandleSimplicity,Jean
5.0,"April 24, 2021",Trusting based on advertising.,I like being able to put one in each important room. Plus there is extra until I received the next Order. Likes BathroomKitchenFeelingUsefulnessCar,Mildred
5.0,"April 24, 2021",A 10,"This does a good job, it clean and kills germs and you counters etc smells great Likes VirusesSafetyCleanlinessHealthFor the classroom",Tommie
4.0,"April 23, 2021",Great customer service.,Have always liked Clorox products. First batch they had packaged laying flat in the box. The liquid spilled out,Irma
5.0,"April 22, 2021",No title,ive used this brand forever disinfect so well,Wanda
5.0,"May 3, 2021",Finally back in stock!,These clean well and also disinfect.,Karen
1.0,"May 3, 2021",I Hate This New Product,"[This review was collected as part of a promotion.] Where are my original Clorox Wipes? Not the kind that are 'disinfecting wipes'; that is peroxide and that does not clean the way I like. I know, I know. It SAYS that it kills COVID-19. I don't care. I simply want to clean my kitchen and my bathrooms. I have used and currently use a LOT of Clorox products. Just bring back the Wipes and get rid of the imitations.",I have no nickname
4.0,"May 3, 2021",Not like it was before,good. disinfectant. esential item,sandrafloerke
5.0,"April 21, 2021",No title,I use these to keep everything sanitized . In my home with the pandemic and also used before .,Nama
5.0,"April 20, 2021","Been a staple MANY MOONS,waay b4Covid...",These have been MY GO TO since many many MOOONS before Covid EVER came along!! Kept my family safe since and before! Ill ALWAYS have these on hand!,MissHeather
